gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC008705.1	0.900252547816899	9.98447904283513e-06	0.000927900110321337
AC008764.1	0.812101630060009	1.79356796488557e-05	0.00166683900616768
AC008770.2	0.932087100477	6.91180136559093e-06	0.000642343102943693
AC008878.3	0.998811209608818	1.25166854180836e-07	1.16322882049932e-05
AC009365.2	0.998961979074102	1.09300693444647e-07	1.01577783948843e-05
AC009690.1	0.996803393568825	3.36230223855613e-07	3.12473049891245e-05
AC009690.3	0.744688353078732	2.34639305093176e-05	0.00218060287519875
AC009779.3	0.97091828593177	3.01926264450661e-06	0.000280592921163693
AC009951.1	0.999761794353889	2.50924225817964e-08	2.33194557091956e-06
AC009951.2	1	0	0
AC010132.3	0.97794664968484	2.29774285557294e-06	0.000213539017912624
AC010255.3	0.999042907261989	1.00783262195204e-07	9.36621727666221e-06
AC010319.2	0.950644048877888	5.07142289997129e-06	0.000471308903367009
AC010323.1	0.591028515714998	3.42754579441491e-05	0.00318536411076079
AC010327.1	0.953420325493677	4.79296686343927e-06	0.000445430799370876
AC010327.2	0.999884048343509	1.22150162344373e-08	1.13519341999569e-06
AC010422.3	0.577871541280735	3.50855711008127e-05	0.0032606513725414
AC010422.5	1	1.16964077604842e-20	1.08699692840808e-18
AC010463.1	0.0758980106232316	5.23724974706825e-05	0.00486719897676815
AC010531.1	0.893264621865506	1.06446647346963e-05	0.000989253975022982
AC010616.1	0.995034811139963	5.21793332261764e-07	4.84924740182685e-05
AC010746.1	0.999822023744584	1.87484637212224e-08	1.74237448750636e-06
AC011195.2	0.999311062370821	7.25558693268452e-08	6.74292558119518e-06
AC011448.1	0.957512049371258	4.38109330535474e-06	0.000407153637553473
AC011455.2	0.999829914021699	1.79173528951904e-08	1.66513582298958e-06
AC011462.1	0.96124318258086	4.00397934796778e-06	0.000372106833292395
AC011473.4	0.999999311519901	7.25326445145777e-11	6.74076720059538e-09
AC011479.1	0.933067641320546	6.81546442901989e-06	0.000633390101621462
AC011511.1	0.990680939901682	9.77205821508582e-07	9.08158939183863e-05
AC011511.4	0.997176117906711	2.97081219790364e-07	2.76090215058032e-05
AC011604.2	0.990630763541361	9.82442600371873e-07	9.13025700548305e-05
AC012254.2	0.842324514692686	1.53018021464249e-05	0.00142206156564291
