gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
AC003092.1	NA	NA	NA
AC003092.2	NA	NA	NA
AC003098.1	NA	NA	NA
AC003101.1	NA	NA	NA
AC003101.2	NA	NA	NA
AC003101.3	NA	NA	NA
AC003102.1	NA	NA	NA
AC003102.2	NA	NA	NA
AC003659.1	NA	NA	NA
AC003666.1	NA	NA	NA
AC003669.1	NA	NA	NA
AC003681.1	NA	NA	NA
AC003682.1	NA	NA	NA
AC003684.1	NA	NA	NA
AC003685.1	NA	NA	NA
AC003685.2	NA	NA	NA
AC003686.1	NA	NA	NA
AC003687.1	NA	NA	NA
AC003688.1	NA	NA	NA
AC003688.2	NA	NA	NA
AC003956.1	NA	NA	NA
AC003957.1	NA	NA	NA
AC003958.1	NA	NA	NA
AC003958.2	NA	NA	NA
AC003965.1	NA	NA	NA
AC003965.2	NA	NA	NA
AC003973.1	NA	NA	NA
AC003973.2	NA	NA	NA
AC003973.3	NA	NA	NA
AC003975.1	NA	NA	NA
AC003982.1	NA	NA	NA
AC003982.2	NA	NA	NA
AC003984.1	NA	NA	NA
AC003985.1	NA	NA	NA
AC003985.2	NA	NA	NA
AC003986.1	NA	NA	NA
AC003986.2	NA	NA	NA
AC003986.3	NA	NA	NA
AC003988.1	NA	NA	NA
AC003989.1	NA	NA	NA
AC003989.2	NA	NA	NA
AC003991.1	NA	NA	NA
AC003991.2	NA	NA	NA
AC003992.1	NA	NA	NA
AC004000.1	NA	NA	NA
AC004004.1	NA	NA	NA
AC004006.1	NA	NA	NA
AC004009.1	NA	NA	NA
AC004009.2	NA	NA	NA
AC004009.3	NA	NA	NA
AC004012.1	NA	NA	NA
AC004014.1	NA	NA	NA
AC004014.2	NA	NA	NA
AC004022.1	NA	NA	NA
AC004022.2	NA	NA	NA
AC004023.1	NA	NA	NA
AC004024.1	NA	NA	NA
AC004034.1	NA	NA	NA
AC004039.1	NA	NA	NA
AC004052.1	NA	NA	NA
AC004053.1	NA	NA	NA
AC004054.1	NA	NA	NA
AC004057.1	0.981722849768962	6.39391439088917e-07	0.000102645771158066
AC004062.1	NA	NA	NA
AC004063.1	NA	NA	NA
AC004066.1	NA	NA	NA
AC004066.2	NA	NA	NA
AC004067.1	NA	NA	NA
AC004069.1	NA	NA	NA
AC004069.2	NA	NA	NA
AC004074.1	NA	NA	NA
AC004076.1	NA	NA	NA
