gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
ABCA8	0.999599516901093	1.41365239920539e-08	2.26943045832222e-06
ABCA9	0.999834831984537	5.83089871580307e-09	9.3607305108905e-07
ABCA9-AS1	0.992097771208584	2.77891758984593e-07	4.46118170429213e-05
ABCB1	0.999192037291643	2.85142037313861e-08	4.57757525677365e-06
ABCB10	0.999265176379439	2.59339654598295e-08	4.16335240209659e-06
ABCB10P1	0.991910549823982	2.84448897540712e-07	4.56644782181196e-05
ABCB10P3	0.986197160566426	4.8395637075836e-07	7.76927432030294e-05
ABCB10P4	0.999475855964602	1.85004473913717e-08	2.97000018011266e-06
ABCB11	0.999929171204801	2.50057501904621e-09	4.01433981559611e-07
ABCB4	0.997414725927583	9.11570488420408e-08	1.46340488828214e-05
ABCB5	0.998805001610675	4.21651030486481e-08	6.76904514792215e-06
ABCB6	0.996998596275399	1.05807778295512e-07	1.69860281725701e-05
ABCB7	0.99567406766638	1.52399925446336e-07	2.44657762295993e-05
ABCB8	0.997098705606087	1.02283774866991e-07	1.64202964042505e-05
ABCB9	0.999218767521767	2.75712228548283e-08	4.4261922488943e-06
ABCC1	0.998887057499019	3.92714016549959e-08	6.30449996809328e-06
ABCC10	0.992516700153687	2.63214939910263e-07	4.22556494123714e-05
ABCC11	0.98313819069689	5.90299710373636e-07	9.47647486053665e-05
ABCC12	0.999719384128438	9.9059631029511e-09	1.59027030955345e-06
ABCC13	0.994484969609864	1.94175349881163e-07	3.11722636712805e-05
ABCC2	0.999784431854661	7.60997424537494e-09	1.22167990866844e-06
ABCC3	0.997869122881915	7.51520547747118e-08	1.20646604644182e-05
ABCC4	0.998915179981372	3.82796074492141e-08	6.14528063098792e-06
ABCC5	0.998998393145645	3.53447693196347e-08	5.67413149664226e-06
ABCC5-AS1	0.999553727744814	1.57524599535023e-08	2.52884743322148e-06
ABCC6	0.999271767434569	2.57014335579829e-08	4.12602250537807e-06
ABCC6P1	0.999649003137338	1.23900318903842e-08	1.9890544356892e-06
ABCC6P2	0.999591123008026	1.44327567355155e-08	2.31698667590033e-06
ABCC8	0.998341034789433	5.85224236612735e-08	9.39499489594367e-06
ABCC9	0.999094840200203	3.19428803370189e-08	5.1280035745789e-06
ABCD1	0.996306871534186	1.30147891077601e-07	2.08935087765517e-05
ABCD1P2	0.998393209021319	5.66833812334397e-08	9.09976115232897e-06
ABCD1P3	NA	NA	NA
ABCD1P4	0.998862664350351	4.01316510188855e-08	6.44260153459299e-06
ABCD1P5	0.963601918233141	1.26167460770743e-06	0.000202545037580131
ABCD2	0.999882280834869	4.15591852246327e-09	6.6717731193928e-07
ABCD3	0.997819404943491	7.69035997425943e-08	1.23458476573567e-05
ABCD4	0.998476076472319	5.37622636711527e-08	8.63081467213906e-06
ABCE1	0.996244537595139	1.32340441177944e-07	2.12454934640117e-05
ABCF1	0.99177747325177	2.89108945599766e-07	4.6412586806087e-05
ABCF2	0.997002158578412	1.05682385785688e-07	1.6965898076855e-05
ABCF2P1	0.971013231227659	1.00856702409301e-06	0.000161911989469452
ABCF2P2	0.999951546531269	1.71064450155542e-09	2.74621168356061e-07
ABCF3	0.980731364250019	6.73739429040673e-07	0.00010815988301629
ABCG1	0.999775051909944	7.94106726571008e-09	1.27483247894023e-06
ABCG2	0.999503882272932	1.75114623876617e-08	2.81123182294756e-06
ABCG4	0.999420920609501	2.043891131299e-08	3.28119471906383e-06
ABCG5	0.999381922903074	2.18149303515463e-08	3.50209623057303e-06
ABCG8	0.999522937379877	1.68390349439168e-08	2.70328256167907e-06
ABHD1	0.991906087829678	2.84605156870906e-07	4.56895635703277e-05
ABHD10	0.998938039621565	3.7473397066522e-08	6.01585430247e-06
ABHD11	0.998360651446535	5.78309850877491e-08	9.28399365124608e-06
ABHD11-AS1	0.99534970391563	1.63800432761408e-07	2.62959756870962e-05
ABHD12	0.988176292700667	4.14976954956337e-07	6.66190176318509e-05
ABHD12B	0.999912116909296	3.1026418932711e-09	4.9808779144108e-07
ABHD13	0.9997412853334	9.13293320014348e-09	1.46617066471774e-06
ABHD14A	0.999124576687094	3.08939461205284e-08	4.95961117054678e-06
ABHD14A-ACY1	0.832035127305046	5.43209904904808e-06	0.000872051081401789
ABHD14B	0.999795358072324	7.22429701020851e-09	1.15976457042403e-06
ABHD15	0.999954558360189	1.60431462149955e-09	2.57551323706542e-07
ABHD15-AS1	0.760001225140206	7.45654105679612e-06	0.00119704825581842
ABHD16A	0.995609201137037	1.54680105410105e-07	2.48318287233482e-05
